2026-04-20T07:37:21.889660Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.889891Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890008Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890107Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890215Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890312Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
standalone | Starting Airflow Standalone
api-server | 2026-04-20T07:38:17.421183Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=20996 loc=http_access_log.py:98 method=GET path=/ui/dags query='dag_runs_limit=14&limit=50&offset=0&tags_match_mode=any&exclude_stale=true&order_by=dag_display_name' status_code=200
scheduler  | 2026-04-20T07:38:18.128498Z [info     ] 1 tasks up for execution:
scheduler  | <TaskInstance: biomonitor_pipeline.ingest_gbif_data manual__2026-04-20T07:38:16.986113+00:00 [scheduled]> [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:665
scheduler  | 2026-04-20T07:38:18.128678Z [info     ] DAG biomonitor_pipeline has 0/16 running and queued tasks [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:749
scheduler  | 2026-04-20T07:38:18.128867Z [info     ] Setting the following tasks to queued state (scheduler job_id=3):
scheduler  | <TaskInstance: biomonitor_pipeline.ingest_gbif_data manual__2026-04-20T07:38:16.986113+00:00 [scheduled]> (id=019da9d3-6759-7f54-887c-e3b8f5a35dac, try_number=1) [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:902
scheduler  | 2026-04-20T07:38:18.130189Z [info     ] Trying to enqueue tasks: [<TaskInstance: biomonitor_pipeline.ingest_gbif_data manual__2026-04-20T07:38:16.986113+00:00 [scheduled]>] for executor: LocalExecutor(parallelism=32) [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:1030
scheduler  | 2026-04-20T07:38:18.134687Z [warning  ] The HMAC key is 24 bytes long, which is below the minimum recommended length of 64 bytes for SHA512. See RFC 7518 Section 3.2. [py.warnings] category=InsecureKeyLengthWarning filename=/workspaces/biomonitor-capstone/.venv/lib/python3.13/site-packages/jwt/api_jwt.py lineno=147
scheduler  | 2026-04-20T07:38:18.185258Z [info     ] Secrets backends loaded for worker [supervisor] backend_classes=['EnvironmentVariablesBackend', 'MetastoreBackend'] count=2 loc=supervisor.py:2088
scheduler  | 2026-04-20T07:38:18.188225Z [warning  ] This process (pid=263535) is multi-threaded, use of fork() may lead to deadlocks in the child. [py.warnings] category=DeprecationWarning filename=/workspaces/biomonitor-capstone/.venv/lib/python3.13/site-packages/airflow/sdk/execution_time/supervisor.py lineno=504
api-server | 2026-04-20T07:38:20.306444Z [warning  ] The HMAC key is 24 bytes long, which is below the minimum recommended length of 64 bytes for SHA512. See RFC 7518 Section 3.2. [py.warnings] category=InsecureKeyLengthWarning correlation_id=019da9d3-6ad0-7cc8-b98a-c163f5352179 filename=/workspaces/biomonitor-capstone/.venv/lib/python3.13/site-packages/jwt/api_jwt.py lineno=365
api-server | 2026-04-20T07:38:20.310763Z [info     ] Task started                   [airflow.api_fastapi.execution_api.routes.task_instances] correlation_id=019da9d3-6ad0-7cc8-b98a-c163f5352179 hostname=codespaces-f30496 loc=task_instances.py:207 previous_state=queued ti_id=019da9d3-6759-7f54-887c-e3b8f5a35dac
api-server | 2026-04-20T07:38:20.312575Z [info     ] Task instance state updated    [airflow.api_fastapi.execution_api.routes.task_instances] correlation_id=019da9d3-6ad0-7cc8-b98a-c163f5352179 loc=task_instances.py:233 rows_affected=1 ti_id=019da9d3-6759-7f54-887c-e3b8f5a35dac
api-server | 2026-04-20T07:38:20.322518Z [info     ] request finished               [http.access] client_addr=127.0.0.1:35068 duration_us=2127286 loc=http_access_log.py:98 method=PATCH path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/run query= status_code=200
scheduler  | 2026-04-20 07:38:20.326185+00:00 [info     ] DAG bundles loaded: dags-folder [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:209
scheduler  | 2026-04-20 07:38:20.326990+00:00 [info     ] Filling up the DagBag from /workspaces/biomonitor-capstone/airflow_home/dags/biomonitor_pipeline.py [airflow.dag_processing.dagbag.BundleDagBag] loc=dagbag.py:469
api-server | 2026-04-20T07:38:20.339049Z [info     ] request finished               [http.access] client_addr=127.0.0.1:35068 duration_us=10619 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:38:20.350241Z [info     ] Updating RenderedTaskInstanceFields [airflow.api_fastapi.execution_api.routes.task_instances] correlation_id=019da9d3-733a-7bdd-9713-04f3fc76ea29 field_count=3 loc=task_instances.py:770 ti_id=019da9d3-6759-7f54-887c-e3b8f5a35dac
api-server | 2026-04-20T07:38:20.372551Z [info     ] request finished               [http.access] client_addr=127.0.0.1:35068 duration_us=25357 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/rtif query= status_code=201
scheduler  | 2026-04-20 07:38:20.373575+00:00 [info     ] Tmp dir root location: /tmp    [airflow.task.hooks.airflow.providers.standard.hooks.subprocess.SubprocessHook] loc=subprocess.py:78
scheduler  | 2026-04-20 07:38:20.374152+00:00 [info     ] Running command: ['/usr/bin/bash', '-c', 'cd /workspaces/biomonitor-capstone/ingestion && /home/codespace/.bruin/uv run python gbif_ingestion.py'] [airflow.task.hooks.airflow.providers.standard.hooks.subprocess.SubprocessHook] loc=subprocess.py:80
scheduler  | 2026-04-20 07:38:20.375598+00:00 [info     ] Output:                        [airflow.task.hooks.airflow.providers.standard.hooks.subprocess.SubprocessHook] loc=subprocess.py:92
api-server | 2026-04-20T07:38:20.482676Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=16279 loc=http_access_log.py:98 method=GET path=/ui/dags query='dag_runs_limit=14&limit=50&offset=0&tags_match_mode=any&exclude_stale=true&order_by=dag_display_name' status_code=200
api-server | 2026-04-20T07:38:20.717849Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=100395 loc=http_access_log.py:98 method=GET path=/ui/backfills query='dag_id=biomonitor_pipeline&active=true' status_code=200
dag-processor | 2026-04-20T07:38:20.734741Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:38:20.744871Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=132399 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:38:20.752587Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=145834 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:38:20.759677Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49722 duration_us=136692 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:38:21.331413Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=715091 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:38:21.354852Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=559954 loc=http_access_log.py:98 method=GET path=/ui/structure/structure_data query='dag_id=biomonitor_pipeline&external_dependencies=false&version_number=1' status_code=200
api-server | 2026-04-20T07:38:21.370419Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49736 duration_us=746354 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/taskInstances query='run_after_gte=2026-04-19T07%3A38%3A20.390Z&run_after_lte=2026-04-20T07%3A38%3A20.390Z&state=failed&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:38:21.372925Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49722 duration_us=570801 loc=http_access_log.py:98 method=GET path=/api/v2/dagWarnings query='dag_id=biomonitor_pipeline' status_code=200
api-server | 2026-04-20T07:38:21.384495Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=17808 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:38:21.389100Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=595555 loc=http_access_log.py:98 method=GET path=/api/v2/assets/events query='limit=10&order_by=-timestamp&source_dag_id=biomonitor_pipeline&timestamp_gte=2026-04-19T07%3A38%3A20.390Z&timestamp_lte=2026-04-20T07%3A38%3A20.390Z' status_code=200
api-server | 2026-04-20T07:38:21.412523Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=659609 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=10&run_after_gte=2026-04-19T07%3A38%3A20.390Z&run_after_lte=2026-04-20T07%3A38%3A20.390Z&state=failed' status_code=200
api-server | 2026-04-20T07:38:21.424985Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49736 duration_us=20915 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:38:21.447291Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=49935 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:38:23.820400Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=21866 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:38:23.827208Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=18087 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:38:23.828575Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49736 duration_us=20814 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:38:24.387284Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=20831 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:38:24.390344Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49736 duration_us=29061 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:38:24.444814Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=4512 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:38:24.454444Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49736 duration_us=16754 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:38:24.493026Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=9994 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:38:25.391245Z [info     ] request finished               [http.access] client_addr=127.0.0.1:58294 duration_us=7224 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
dag-processor | 2026-04-20T07:38:25.760930Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:38:26.815252Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=5813 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:38:26.880635Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=21995 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:38:26.882635Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49736 duration_us=11349 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:38:27.445722Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49736 duration_us=20750 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:38:27.448313Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=19895 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:38:27.493982Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=7578 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:38:27.498480Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49736 duration_us=9456 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:38:27.537430Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=10629 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
triggerer  | 2026-04-20T07:38:29.774626Z [info     ] 0 triggers currently running   [airflow.jobs.triggerer_job_runner] loc=triggerer_job_runner.py:796
triggerer  | 2026-04-20T07:38:29.774889Z [info     ] 0 watchers currently running   [airflow.jobs.triggerer_job_runner] loc=triggerer_job_runner.py:796
api-server | 2026-04-20T07:38:29.821232Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=7969 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:38:29.928816Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49706 duration_us=9861 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:38:29.939609Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49736 duration_us=7681 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
